LLM File,Program,KQuery File,Similarity (%)
result.txt,91,test000177.kquery,0.61
result.txt,91,test000178.kquery,0.61
result.txt,91,test000179.kquery,0.54
result.txt,91,test000180.kquery,0.61
result.txt,91,test000181.kquery,0.69
result.txt,91,test000182.kquery,0.61
result.txt,91,test000183.kquery,0.69
result.txt,91,test000184.kquery,0.61
result.txt,91,test000185.kquery,0.37
result.txt,91,test000186.kquery,0.61
result.txt,91,test000187.kquery,0.61
result.txt,91,test000188.kquery,0.61
result.txt,91,test000189.kquery,0.38
result.txt,91,test000190.kquery,0.69
result.txt,91,test000191.kquery,0.61
result.txt,91,test000192.kquery,0.37
result.txt,91,test000193.kquery,0.37
result.txt,91,test000194.kquery,0.54
result.txt,91,test000195.kquery,0.61
result.txt,91,test000196.kquery,0.37
result.txt,91,test000197.kquery,0.61
result.txt,91,test000198.kquery,0.61
result.txt,91,test000199.kquery,0.61
result.txt,91,test000200.kquery,0.68
result.txt,91,test000201.kquery,0.61
result.txt,91,test000202.kquery,0.61
result.txt,91,test000203.kquery,0.61
result.txt,91,test000204.kquery,0.37
result.txt,91,test000205.kquery,0.37
result.txt,91,test000206.kquery,0.54
result.txt,91,test000207.kquery,0.38
result.txt,91,test000208.kquery,0.61
result.txt,91,test000209.kquery,0.61
result.txt,91,test000210.kquery,0.37
result.txt,91,test000211.kquery,0.61
result.txt,91,test000212.kquery,0.61
result.txt,91,test000213.kquery,0.37
result.txt,91,test000214.kquery,0.61
result.txt,91,test000215.kquery,0.61
result.txt,91,test000216.kquery,0.61
result.txt,91,test000217.kquery,0.37
result.txt,91,test000218.kquery,0.54
result.txt,91,test000219.kquery,0.61
result.txt,91,test000220.kquery,0.61
result.txt,91,test000221.kquery,0.61
result.txt,91,test000222.kquery,0.61
result.txt,91,test000223.kquery,0.37
result.txt,91,test000224.kquery,0.61
result.txt,91,test000225.kquery,0.38
result.txt,91,test000226.kquery,0.38
result.txt,91,test000227.kquery,0.61
result.txt,91,test000228.kquery,0.37
result.txt,91,test000229.kquery,0.61
result.txt,91,test000230.kquery,0.54
result.txt,91,test000231.kquery,0.61
result.txt,91,test000232.kquery,0.37
result.txt,91,test000233.kquery,0.61
result.txt,91,test000234.kquery,0.61
result.txt,91,test000235.kquery,0.36
result.txt,91,test000236.kquery,0.38
result.txt,91,test000237.kquery,0.38
result.txt,91,test000238.kquery,0.61
result.txt,91,test000239.kquery,0.61
result.txt,91,test000240.kquery,0.36
result.txt,91,test000241.kquery,0.61
result.txt,91,test000242.kquery,0.61
result.txt,91,test000243.kquery,0.61
result.txt,91,test000244.kquery,0.38
result.txt,91,test000245.kquery,0.54
result.txt,91,test000246.kquery,0.61
result.txt,91,test000247.kquery,0.36
result.txt,91,test000248.kquery,0.61
result.txt,91,test000249.kquery,0.61
result.txt,91,test000250.kquery,0.61
result.txt,91,test000251.kquery,0.61
result.txt,91,test000252.kquery,0.36
result.txt,91,test000253.kquery,0.61
result.txt,91,test000254.kquery,0.36
result.txt,91,test000255.kquery,0.61
result.txt,91,test000256.kquery,0.36
result.txt,91,test000257.kquery,0.36
result.txt,91,test000258.kquery,0.61
result.txt,91,test000259.kquery,0.38
result.txt,91,test000260.kquery,0.61
result.txt,91,test000261.kquery,0.36
result.txt,91,test000262.kquery,0.38
result.txt,91,test000263.kquery,0.61
result.txt,91,test000264.kquery,0.61
result.txt,91,test000265.kquery,0.36
result.txt,91,test000266.kquery,0.36
result.txt,91,test000267.kquery,0.61
result.txt,91,test000268.kquery,0.61
result.txt,91,test000269.kquery,0.38
result.txt,91,test000270.kquery,0.36
result.txt,91,test000271.kquery,0.61
result.txt,91,test000272.kquery,0.37
result.txt,91,test000273.kquery,0.61
result.txt,91,test000274.kquery,0.37
result.txt,91,test000275.kquery,0.61
result.txt,91,test000276.kquery,0.36
result.txt,91,test000277.kquery,0.60
result.txt,91,test000278.kquery,0.38
result.txt,91,test000279.kquery,0.36
result.txt,91,test000280.kquery,0.60
result.txt,91,test000281.kquery,0.38
result.txt,91,test000282.kquery,0.60
result.txt,91,test000283.kquery,0.37
result.txt,91,test000284.kquery,0.36
result.txt,91,test000285.kquery,0.36
result.txt,91,test000286.kquery,0.60
result.txt,91,test000287.kquery,0.60
result.txt,91,test000288.kquery,0.36
result.txt,91,test000289.kquery,0.37
result.txt,91,test000290.kquery,0.36
result.txt,91,test000291.kquery,0.60
result.txt,91,test000292.kquery,0.37
result.txt,91,test000293.kquery,0.36
result.txt,91,test000294.kquery,0.37
result.txt,91,test000295.kquery,0.37
result.txt,91,test000296.kquery,0.36
result.txt,91,test000297.kquery,0.36
result.txt,91,test000298.kquery,0.37
result.txt,91,test000299.kquery,0.37
result.txt,91,test000300.kquery,0.36
result.txt,91,test000301.kquery,0.37
result.txt,91,test000302.kquery,0.37
result.txt,91,test000303.kquery,0.37
result.txt,91,test000304.kquery,0.36
result.txt,91,test000305.kquery,0.38
result.txt,91,test000306.kquery,0.37
result.txt,91,test000307.kquery,0.36
result.txt,91,test000308.kquery,0.37
result.txt,91,test000309.kquery,0.36
result.txt,91,test000310.kquery,0.37
result.txt,91,test000311.kquery,0.37
result.txt,91,test000312.kquery,0.38
result.txt,91,test000313.kquery,0.37
result.txt,91,test000314.kquery,0.37
result.txt,91,test000315.kquery,0.37
result.txt,91,test000316.kquery,0.36
result.txt,91,test000317.kquery,0.37
result.txt,91,test000318.kquery,0.37
result.txt,91,test000319.kquery,0.37
result.txt,91,test000320.kquery,0.36
result.txt,91,test000321.kquery,0.36
result.txt,91,test000322.kquery,0.37
result.txt,91,test000323.kquery,0.36
result.txt,91,test000324.kquery,0.37
result.txt,91,test000325.kquery,0.36
result.txt,91,test000326.kquery,0.37
result.txt,91,test000327.kquery,0.37
result.txt,91,test000328.kquery,0.38
result.txt,91,test000329.kquery,0.38
result.txt,91,test000330.kquery,0.37
result.txt,91,test000331.kquery,0.37
result.txt,91,test000332.kquery,0.36
result.txt,91,test000333.kquery,0.36
result.txt,91,test000334.kquery,0.37
result.txt,91,test000335.kquery,0.37
result.txt,91,test000336.kquery,0.35
result.txt,91,test000337.kquery,0.37
result.txt,91,test000338.kquery,0.37
result.txt,91,test000339.kquery,0.37
result.txt,91,test000340.kquery,0.36
result.txt,91,test000341.kquery,0.36
result.txt,91,test000342.kquery,0.37
result.txt,91,test000343.kquery,0.36
result.txt,91,test000344.kquery,0.37
result.txt,91,test000345.kquery,0.37
result.txt,91,test000346.kquery,0.36
result.txt,91,test000347.kquery,0.37
result.txt,91,test000348.kquery,0.37
result.txt,91,test000349.kquery,0.35
result.txt,91,test000350.kquery,0.36
result.txt,91,test000351.kquery,0.37
result.txt,91,test000352.kquery,0.37
result.txt,91,test000353.kquery,0.37
result.txt,91,test000354.kquery,0.37
result.txt,91,test000355.kquery,0.37
result.txt,91,test000356.kquery,0.37
result.txt,91,test000357.kquery,0.38
result.txt,91,test000358.kquery,0.36
result.txt,91,test000359.kquery,0.37
result.txt,91,test000360.kquery,0.37
result.txt,91,test000361.kquery,0.36
result.txt,91,test000362.kquery,0.35
result.txt,91,test000363.kquery,0.38
result.txt,91,test000364.kquery,0.38
result.txt,91,test000365.kquery,0.37
result.txt,91,test000366.kquery,0.37
result.txt,91,test000367.kquery,0.36
result.txt,91,test000368.kquery,0.37
result.txt,91,test000369.kquery,0.37
result.txt,91,test000370.kquery,0.36
result.txt,91,test000371.kquery,0.37
result.txt,91,test000372.kquery,0.38
result.txt,91,test000373.kquery,0.37
result.txt,91,test000374.kquery,0.35
result.txt,91,test000375.kquery,0.36
result.txt,91,test000376.kquery,0.37
result.txt,91,test000377.kquery,0.37
result.txt,91,test000378.kquery,0.38
result.txt,91,test000379.kquery,0.36
result.txt,91,test000380.kquery,0.37
result.txt,91,test000381.kquery,0.37
result.txt,91,test000382.kquery,0.36
result.txt,91,test000383.kquery,0.37
result.txt,91,test000384.kquery,0.37
result.txt,91,test000385.kquery,0.36
result.txt,91,test000386.kquery,0.35
result.txt,91,test000387.kquery,0.37
result.txt,91,test000388.kquery,0.37
result.txt,91,test000389.kquery,0.38
result.txt,91,test000390.kquery,0.37
result.txt,91,test000391.kquery,0.37
result.txt,91,test000392.kquery,0.38
result.txt,91,test000393.kquery,0.36
result.txt,91,test000394.kquery,0.35
result.txt,91,test000395.kquery,0.37
result.txt,91,test000396.kquery,0.37
result.txt,91,test000397.kquery,0.34
result.txt,91,test000398.kquery,0.35
result.txt,91,test000399.kquery,0.37
result.txt,91,test000400.kquery,0.37
result.txt,91,test000401.kquery,0.38
result.txt,91,test000402.kquery,0.37
result.txt,91,test000403.kquery,0.37
result.txt,91,test000404.kquery,0.37
result.txt,91,test000405.kquery,0.37
result.txt,91,test000406.kquery,0.37
result.txt,91,test000407.kquery,0.37
result.txt,91,test000408.kquery,0.37
result.txt,91,test000409.kquery,0.37
result.txt,91,test000410.kquery,0.35
result.txt,91,test000411.kquery,0.38
result.txt,91,test000412.kquery,0.37
result.txt,91,test000413.kquery,0.38
result.txt,91,test000414.kquery,0.37
result.txt,91,test000415.kquery,0.37
result.txt,91,test000416.kquery,0.37
result.txt,91,test000417.kquery,0.37
result.txt,91,test000418.kquery,0.35
result.txt,91,test000419.kquery,0.37
result.txt,91,test000420.kquery,0.37
result.txt,91,test000421.kquery,0.38
result.txt,91,test000422.kquery,0.37
result.txt,91,test000423.kquery,0.37
result.txt,91,test000424.kquery,0.37
result.txt,91,test000425.kquery,0.37
result.txt,91,test000426.kquery,0.37
